Date,Open,High,Low,Close,Volume,Adj Close
7/23/2015,151.919998,153.690002,149.020004,149.5,5148900,149.5
7/22/2015,155.589996,156.309998,154.440002,155.410004,3065100,155.410004
7/21/2015,156.75,157.179993,155.339996,155.759995,2696400,155.759995
7/20/2015,156.770004,157.649994,156.270004,157.119995,2349000,157.119995
7/17/2015,156.5,157.369995,156.429993,156.690002,2427100,156.690002
7/16/2015,157.580002,157.940002,156.690002,157.169998,2022600,157.169998
7/15/2015,156.570007,157,155.899994,156,1786100,156
7/14/2015,156.490005,157.080002,156.279999,156.779999,1811400,156.779999
7/13/2015,156.419998,156.770004,155.649994,156.470001,2105600,156.470001
7/10/2015,154.740005,155.860001,154.5,154.949997,2058500,154.949997
7/9/2015,154.589996,155.5,153.75,153.75,2069200,153.75
7/8/2015,154.080002,154.5,152.699997,152.710007,2553200,152.710007
7/7/2015,155.139999,155.630005,153.160004,155.429993,2865300,155.429993
7/6/2015,153.889999,155.580002,153.830002,155.080002,2168100,155.080002
7/2/2015,156.080002,156.080002,154.899994,155.380005,2013900,155.380005
7/1/2015,156.130005,156.429993,154.660004,155.649994,1724200,155.649994
6/30/2015,155,155.300003,154.070007,154.300003,2561000,154.300003
6/29/2015,155.919998,156.440002,153.919998,153.949997,2462600,153.949997
6/26/2015,156.160004,157.990005,155.929993,157.089996,2527500,157.089996
6/25/2015,157.850006,158.320007,155.919998,155.919998,2562100,155.919998
6/24/2015,159.679993,159.960007,157.539993,157.539993,2843700,157.539993
6/23/2015,160.410004,160.869995,159.509995,159.839996,2275300,159.839996
6/22/2015,159.850006,160.699997,159.449997,159.679993,1445700,159.679993
6/19/2015,159.360001,159.880005,158.940002,158.949997,3214000,158.949997
6/18/2015,157.589996,160.240005,157.389999,159.619995,2524500,159.619995
6/17/2015,156.600006,157.589996,155.75,156.949997,1714400,156.949997
6/16/2015,155.490005,157.039993,155.369995,156.490005,1729300,156.490005
6/15/2015,157.080002,157.320007,155.389999,155.869995,2329600,155.869995
6/12/2015,159.850006,159.990005,157.880005,158.039993,1906900,158.039993
6/11/2015,159.119995,160.360001,159,159.860001,1833200,159.860001
6/10/2015,156.949997,159.570007,156.949997,159.039993,1755700,159.039993
6/9/2015,156.850006,158.259995,156.600006,156.979996,1789600,156.979996
6/8/2015,156.5,157.410004,156.300003,156.589996,1589400,156.589996
6/5/2015,157.5,157.970001,156.970001,157.080002,2309300,157.080002
6/4/2015,159.509995,160.380005,158.089996,158.350006,2230400,158.350006
6/3/2015,159.610001,160.5,158.979996,160.160004,2074500,160.160004
6/2/2015,158.279999,159.880005,157.949997,159.080002,2481100,159.080002
6/1/2015,159.100006,159.759995,158.570007,158.979996,1906100,158.979996
5/29/2015,160.440002,160.789993,158.740005,159.080002,2875400,159.080002
5/28/2015,160.350006,160.889999,159.610001,160.869995,1578100,160.869995
5/27/2015,159.820007,161.309998,159.529999,161.020004,2625900,161.020004
5/26/2015,160.979996,161.320007,159.039993,159.589996,2471100,159.589996
5/22/2015,161.990005,162.330002,160.660004,160.979996,1822700,160.979996
5/21/2015,161.899994,162.350006,161.800003,162.059998,2400800,162.059998
5/20/2015,162.419998,163.070007,161.839996,161.899994,1978100,161.899994
5/19/2015,163.070007,163.589996,162.550003,163.119995,2075100,162.094998
5/18/2015,163,163.589996,162.309998,162.869995,1747800,161.846569
5/15/2015,163.149994,163.770004,162.649994,163.300003,1923800,162.273875
5/14/2015,162.089996,163.300003,161.800003,163.149994,2462500,162.124808
5/13/2015,160.429993,161.740005,160.360001,161.309998,2587900,160.296374
5/12/2015,158.710007,160.399994,158.009995,160.070007,1864800,159.064175
5/11/2015,160.259995,161,159.800003,159.899994,1708700,158.89523
5/8/2015,160.25,161.399994,160.059998,160.600006,2025500,159.590844
5/7/2015,157.229996,159.199997,157.229996,158.610001,2112900,157.613343
5/6/2015,157.919998,159.080002,156.550003,157.639999,2203100,156.649437
5/5/2015,158.860001,159.449997,157.410004,157.910004,1947700,156.917744
5/4/2015,158.399994,159.850006,157.880005,159.020004,2240300,158.02077
5/1/2015,156.789993,158.089996,156.789993,157.679993,2160100,156.689179
4/30/2015,156.820007,157.919998,156.009995,156.389999,3510200,155.407291
4/29/2015,157.419998,157.929993,156.179993,156.970001,3078600,155.983649
4/28/2015,157.690002,158.360001,156.179993,158.330002,3387900,157.335104
4/27/2015,159.479996,160.070007,157.809998,157.979996,3448800,156.987297
4/24/2015,159.809998,159.809998,157.850006,158.990005,3043500,157.99096
4/23/2015,159.539993,161.449997,158.610001,159.660004,5704500,158.656748
4/22/2015,163.809998,164.889999,162.570007,164.669998,2228800,163.635261
4/21/2015,165.649994,165.699997,163.619995,164,1970500,162.969473
4/20/2015,163,165.389999,162.729996,164.509995,2394200,163.476263
4/17/2015,164.529999,164.539993,161.130005,161.710007,3063500,160.693869
4/16/2015,165.729996,166.649994,165.100006,165.889999,1662800,164.847596
4/15/2015,166.720001,167.339996,165.860001,166.440002,1995800,165.394143
4/14/2015,165.320007,166.479996,164.169998,165.990005,1914300,164.946974
